forward_m,lateral_m,source_range_m,first_error_deg,second_error_deg,area_m2,diameter_m,mec_radius_m,acute_crossing_angle_deg,second_visible
250,100,1275.7649999999999,0.0,-1.005,11470.84686682389,616.4525728173205,308.2262864086603,5.568068268027159,True
250,100,1275.7649999999999,0.0,0,13537.488829116295,531.6181914263962,265.80909571319813,5.568068268027159,True
250,100,1275.7649999999999,0.0,1.005,9985.097948766394,420.77671153095736,210.39491945131533,5.568068268027159,True
250,100,1275.7649999999999,1.005,-1.005,13318.306260758105,508.50478036156727,254.25239018078375,5.333365251905007,True
250,100,1275.7649999999999,1.005,0,8339.188123015207,389.494543051441,194.77723443112478,5.333365251905007,True
250,100,1275.7649999999999,1.005,1.005,2347.984613965011,225.07318612145,112.5539074152014,5.333365251905007,True
250,100,1350.51,-1.005,-1.005,8118.282853753401,524.4335440807305,262.2167720403653,5.408823569400704,True
250,100,1350.51,-1.005,0,12066.14493463277,604.3448296281639,302.17241481408206,5.408823569400704,True
250,100,1350.51,-1.005,1.005,13424.309520481163,516.0932943097479,258.04664715487394,5.408823569400704,True
250,100,1350.51,0.0,-1.005,12731.612977591496,587.1154347077659,293.55771735388294,5.1920348571683315,True
250,100,1350.51,0.0,0,13022.263514031001,493.869854755842,246.934927377921,5.1920348571683315,True
250,100,1350.51,0.0,1.005,7341.572220967835,369.54029968393706,184.79857771404005,5.1920348571683315,True
250,100,1350.51,1.005,-1.005,12286.803848784904,469.9735446120569,234.98677230602846,4.972450230370032,True
250,100,1350.51,1.005,0,5881.673779623048,336.70395164082345,168.37787766892893,4.972450230370032,True
250,100,1350.51,1.005,1.005,973.6702666794154,150.05736096340286,75.04022404397318,4.972450230370032,True
250,100,1425.255,-1.005,-1.005,9317.90559053209,577.1277306574622,288.56386532873114,5.067200104626155,True
250,100,1425.255,-1.005,0,13032.456451462498,576.7796587523328,288.3898293761664,5.067200104626155,True
250,100,1425.255,-1.005,1.005,12647.538879078073,480.46388733099684,240.23194366549842,5.067200104626155,True
250,100,1425.255,0.0,-1.005,13381.603248976786,559.2160538994473,279.6080269497237,4.863464026867541,True
250,100,1425.255,0.0,0,11784.629084190385,457.55500390928927,228.77750195464463,4.863464026867541,True
250,100,1425.255,0.0,1.005,5200.966559916818,319.510955513742,159.78005698835562,4.863464026867541,True
250,100,1425.255,1.005,-1.005,10589.67282373258,432.7167851666837,216.35962580897973,4.657185415056753,True
250,100,1425.255,1.005,0,3999.631808797967,285.1888666780739,142.61637225239835,4.657185415056753,True
250,100,1425.255,1.005,1.005,228.63918783556437,75.11680222370299,37.56417967198959,4.657185415056753,True
250,100,1500.0,-1.005,-1.005,10592.81385025653,631.0276679705207,315.51383398526036,4.766073378441769,True
250,100,1500.0,-1.005,0,13481.559291355581,550.4992247156028,275.2496123578015,4.766073378441769,True
250,100,1500.0,-1.005,1.005,11251.665579143337,446.1253791703711,223.06268958518555,4.766073378441769,True
250,100,1500.0,0.0,-1.005,13539.994899360894,532.6528425738744,266.32642128693726,4.573921259900861,True
250,100,1500.0,0.0,0,10056.420068266008,422.17054402553265,211.09099709776092,4.573921259900861,True
250,100,1500.0,0.0,1.005,3549.2387702870255,270.6271070572343,135.33437223982455,4.573921259900861,True
250,100,1500.0,1.005,-1.005,8710.18694955272,396.4932658290052,198.27697890921675,4.3794408515419905,True
250,100,1500.0,1.005,0,2581.428045903973,234.88608121913438,117.4611098471424,4.3794408515419905,True
250,100,1500.0,1.005,1.005,0.002036748919636011,0.23114825917593856,0.11559191259450328,4.3794408515419905,True
250,250,5.1,-1.005,-1.005,0.4720816686561813,5.278282310473431,2.6391411552367154,46.605573206701514,True
250,250,5.1,-1.005,0,3.2612068978114426,13.864868795510004,6.932434397755002,46.605573206701514,True
250,250,5.1,-1.005,1.005,7.86934779228951,17.06550520405919,8.532752602029596,46.605573206701514,True
250,250,5.1,0.0,-1.005,0.4564115159405854,5.189971699744319,2.5949858498721596,45.590418533946185,True
250,250,5.1,0.0,0,3.221176228706301,13.779592965972775,6.889796482986387,45.590418533946185,True
250,250,5.1,0.0,1.005,7.822975592701914,17.06836558000442,8.53418279000221,45.590418533946185,True
250,250,5.1,1.005,-1.005,0.4407187975863577,5.099999999999677,2.5499999999998386,44.575076609928,True
250,250,5.1,1.005,0,3.180647806388755,13.692714217586675,6.846357108793337,44.575076609928,True
250,250,5.1,1.005,1.005,7.775699404318932,17.071280237993932,8.535640118996966,44.575076609928,True
250,250,79.845,-1.005,-1.005,34.13214175615928,15.156428759310643,7.5782143796553285,56.911817273184,True
